HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.word1,Input.word2,Input.word3,Input.word4,Input.word5,Answer.word1,Answer.word2,Answer.word3,Answer.word4,Answer.word5,Approve,Reject
2BT2YU98JHSTZYHA5K2JDIOCYM4OCL,2VSZ2MIKMN9UMCNN8DKW0XI3SBE9Q4,Tell Us What Words Mean,List the features of the words provided.,"words, answers, survey, psychology, definition, meaning",$0.05 ,Wed Jun 20 01:58:35 GMT 2012,13,,10800,2592000,Fri Jul 20 01:58:35 GMT 2012,,,,,Approved,Thu Jun 21 17:50:29 GMT 2012,Thu Jun 21 17:51:40 GMT 2012,Sat Jul 21 10:51:40 PDT 2012,Thu Jun 21 11:42:40 PDT 2012,,,71,100% (22/22),0% (0/0),0% (0/0),Belong,Jaws,Slender,Criterion,Conversation,"being where you want, feeling right","Teeth, a shark move","small, skinny","A famous book, a certain science","Talking to someone, a long talk",,
2BT2YU98JHSTZYHA5K2JDIOCYM4OCL,2VSZ2MIKMN9UMCNN8DKW0XI3SBE9Q4,Tell Us What Words Mean,List the features of the words provided.,"words, answers, survey, psychology, definition, meaning",$0.05 ,Wed Jun 20 01:58:35 GMT 2012,13,,10800,2592000,Fri Jul 20 01:58:35 GMT 2012,,,,,Approved,Wed Jun 20 02:07:39 GMT 2012,Wed Jun 20 02:11:06 GMT 2012,Thu Jul 19 19:11:06 PDT 2012,Wed Jun 20 13:08:06 PDT 2012,,,207,100% (8/8),0% (0/0),0% (0/0),Belong,Jaws,Slender,Criterion,Conversation,"be a part of, included in a group, be a member of, feel accepted","bones, for chewing, powerful, sharks, holds teeth","thin, reed like, not heavy or fat, slim","a means to measure something, a standard used to compare things to","communication between people, speaking back and forth, to talk with someone, involves listening and speaking",,
2BT2YU98JHSTZYHA5K2JDIOCYM4OCL,2VSZ2MIKMN9UMCNN8DKW0XI3SBE9Q4,Tell Us What Words Mean,List the features of the words provided.,"words, answers, survey, psychology, definition, meaning",$0.05 ,Wed Jun 20 01:58:35 GMT 2012,13,,10800,2592000,Fri Jul 20 01:58:35 GMT 2012,,,,,Approved,Wed Jun 20 20:36:46 GMT 2012,Wed Jun 20 20:38:30 GMT 2012,Fri Jul 20 13:38:30 PDT 2012,Wed Jun 20 21:17:36 PDT 2012,,,104,100% (15/15),0% (0/0),0% (0/0),Belong,Jaws,Slender,Criterion,Conversation,"own, where you feel comfortable","mouth, teeth","skinny, athletic","standard, charicterize","talk, words, speak",,
2BT2YU98JHSTZYHA5K2JDIOCYM4OCL,2VSZ2MIKMN9UMCNN8DKW0XI3SBE9Q4,Tell Us What Words Mean,List the features of the words provided.,"words, answers, survey, psychology, definition, meaning",$0.05 ,Wed Jun 20 01:58:35 GMT 2012,13,,10800,2592000,Fri Jul 20 01:58:35 GMT 2012,,,,,Approved,Wed Jun 20 14:10:23 GMT 2012,Wed Jun 20 14:11:19 GMT 2012,Fri Jul 20 07:11:19 PDT 2012,Wed Jun 20 13:08:08 PDT 2012,,,56,100% (32/32),0% (0/0),0% (0/0),Belong,Jaws,Slender,Criterion,Conversation,"necessary, home, expected","shark, teeth, mouth, eat","skinny, thin, wiry","goal, reason, requirement","talk, social, discussion",,
2BT2YU98JHSTZYHA5K2JDIOCYM4OCL,2VSZ2MIKMN9UMCNN8DKW0XI3SBE9Q4,Tell Us What Words Mean,List the features of the words provided.,"words, answers, survey, psychology, definition, meaning",$0.05 ,Wed Jun 20 01:58:35 GMT 2012,13,,10800,2592000,Fri Jul 20 01:58:35 GMT 2012,,,,,Approved,Wed Jun 20 02:28:47 GMT 2012,Wed Jun 20 02:30:31 GMT 2012,Thu Jul 19 19:30:31 PDT 2012,Wed Jun 20 13:08:07 PDT 2012,,,104,100% (6/6),0% (0/0),0% (0/0),Belong,Jaws,Slender,Criterion,Conversation,when you're meant to be somewhere,the part of your mouth that allows you to open and close it.,thin,requirements,talking with someone else,,
2BT2YU98JHSTZYHA5K2JDIOCYM4OCL,2VSZ2MIKMN9UMCNN8DKW0XI3SBE9Q4,Tell Us What Words Mean,List the features of the words provided.,"words, answers, survey, psychology, definition, meaning",$0.05 ,Wed Jun 20 01:58:35 GMT 2012,13,,10800,2592000,Fri Jul 20 01:58:35 GMT 2012,,,,,Approved,Wed Jun 20 07:26:18 GMT 2012,Wed Jun 20 07:45:21 GMT 2012,Fri Jul 20 00:45:21 PDT 2012,Wed Jun 20 13:08:08 PDT 2012,,,1143,100% (1/1),0% (0/0),0% (0/0),Belong,Jaws,Slender,Criterion,Conversation,"feeling accepted, groups of animals/people/things, matching, goes together with another item, a part of something else, rightness, feeling content, friendship","teeth, sharp, name of shark movie, bone, part of the mouth, is a hinge, aids in chewing, moves up and down","thin, frail, like a twig, body type of a person, i.e. a model, feels tight, boney, smooth, doesn't feel flabby, fluid like a snake","a rule, a point used to determine something, instruction for a test, stress, judgement, deciding factor, a form of measure, may cause people to tap or bite their pencils","people talking, texting, an exchange of words/thoughts/ideas, sounds of language, sitting at a cafe, mouths moving, hands moving, reading body language, sharing feelings",,
2BT2YU98JHSTZYHA5K2JDIOCYM4OCL,2VSZ2MIKMN9UMCNN8DKW0XI3SBE9Q4,Tell Us What Words Mean,List the features of the words provided.,"words, answers, survey, psychology, definition, meaning",$0.05 ,Wed Jun 20 01:58:35 GMT 2012,13,,10800,2592000,Fri Jul 20 01:58:35 GMT 2012,,,,,Approved,Wed Jun 20 02:15:22 GMT 2012,Wed Jun 20 02:18:18 GMT 2012,Thu Jul 19 19:18:18 PDT 2012,Wed Jun 20 13:08:06 PDT 2012,,,176,100% (9/9),0% (0/0),0% (0/0),Belong,Jaws,Slender,Criterion,Conversation,To be a part of,Area of body that holds teeth used for eating and speech,Petite or slim figure,Is what is required to finish an action or pass.,To talk to another person.,,
2BT2YU98JHSTZYHA5K2JDIOCYM4OCL,2VSZ2MIKMN9UMCNN8DKW0XI3SBE9Q4,Tell Us What Words Mean,List the features of the words provided.,"words, answers, survey, psychology, definition, meaning",$0.05 ,Wed Jun 20 01:58:35 GMT 2012,13,,10800,2592000,Fri Jul 20 01:58:35 GMT 2012,,,,,Approved,Wed Jun 20 02:19:14 GMT 2012,Wed Jun 20 02:20:40 GMT 2012,Thu Jul 19 19:20:40 PDT 2012,Wed Jun 20 13:08:11 PDT 2012,,,86,100% (4/4),0% (0/0),0% (0/0),Belong,Jaws,Slender,Criterion,Conversation,To feel like you are part of something.,Famous shark movie.,Slim,Items that are required,Speaking back an forth between people.,,
2BT2YU98JHSTZYHA5K2JDIOCYM4OCL,2VSZ2MIKMN9UMCNN8DKW0XI3SBE9Q4,Tell Us What Words Mean,List the features of the words provided.,"words, answers, survey, psychology, definition, meaning",$0.05 ,Wed Jun 20 01:58:35 GMT 2012,13,,10800,2592000,Fri Jul 20 01:58:35 GMT 2012,,,,,Approved,Wed Jun 20 10:27:20 GMT 2012,Wed Jun 20 10:55:17 GMT 2012,Fri Jul 20 03:55:17 PDT 2012,Wed Jun 20 13:08:12 PDT 2012,,,1677,100% (7/7),0% (0/0),0% (0/0),Belong,Jaws,Slender,Criterion,Conversation,"Be owned by, be in the possession of, to be the property of, to be a part of.","holding device consisting of one or both of the opposing parts of a tool that close to hold an object, Jaws is a 1975 American thriller film directed by Steven Spielberg","Weak, feeble, not strong, slight","A standard of judging, a basis for comparison, measure, rule","Informal dialogue, colloquial discourse, exchange of sentiments, observations, opinions, or ideas",,
2BT2YU98JHSTZYHA5K2JDIOCYM4OCL,2VSZ2MIKMN9UMCNN8DKW0XI3SBE9Q4,Tell Us What Words Mean,List the features of the words provided.,"words, answers, survey, psychology, definition, meaning",$0.05 ,Wed Jun 20 01:58:35 GMT 2012,13,,10800,2592000,Fri Jul 20 01:58:35 GMT 2012,,,,,Approved,Thu Jun 21 05:19:37 GMT 2012,Thu Jun 21 05:26:21 GMT 2012,Fri Jul 20 22:26:21 PDT 2012,Thu Jun 21 11:42:38 PDT 2012,,,404,100% (1/1),0% (0/0),0% (0/0),Belong,Jaws,Slender,Criterion,Conversation,belong is a word which shows ownership of an item.  That clock belongs to Gina.,jaws are a body part which hold the teeth of an animal is used in the digestion of food in a grinding action  modern reference to sharks,Slender a word which refers to the heft of an item.  Slender as a rod,rules by which two or more things are evaluated,Conversation is the act of two or more people communicating with one another about a subject.,,
