Input.word1,Answer.word1,Input.word2,Answer.word2,Input.word3,Answer.word3,Input.word4,Answer.word4,Input.word5,Answer.word5,Approve,Reject
Shrub,"is a bush, is a plant",Wallet,"billfold, pocket book, is made of leather",Scold,"to yell at, to lecture, to berate",Expert,"a professional, skilled at, highly trained,",Contest,"a competitive event, to dispute an issue",,
Shrub,"bush, plant, living",Wallet,"used to put things in, used to carry things with, put in your pocket",Scold,"to yell, to point out wrong-doing",Expert,"very knowledgable, dedicated",Contest,"fun, competitive, win prizes",,
Shrub,"is a short plant, is commonly found in gardens, has leaves and flowers, can be pruned",Wallet,"holds money, holds cards for identification, is stored in a man's back pocket, is stored in a woman's purse, is fold-able",Scold,"to criticize someone, is often done angrily, to find fault with someone's actions",Expert,"is knowledgeable, has experience, is wise, is professional, is someone to rely on",Contest,"people want to win one, results in a prize, is a competition, results in a victor",,
Shrub,"bush, large plant, barrier, greenage",Wallet,"made of leather, holds money, folds, found in a purse",Scold,"berate, lecture",Expert,"educated on a topic, mastered knowledge in a specific area",Contest,"game, drawing, competition, something that can be entered and won, has prizes",,
Shrub,"small bush, found outdoors",Wallet,"holds money, made of leather or man-made materials, kept in purses or pants pockets",Scold,"to yell at someone, happens after doing something wrong",Expert,"knows a lot about a specific topic, very smart",Contest,"competition, winner, loser",,
Shrub,"Is a bush, is usually small, used in landscaping of homes, is a plant, very small tree",Wallet,"Is an object, used to put money in, keeps people organized, can be made of leather or any other material, fits in purse or pocket",Scold,"Is to yell at someone, punish them, reprimand them for doing something wrong, yell",Expert,"Is a person, experienced in something, specializes in something, knows alot about a specific subject",Contest,"Is a competition, there is always a winner, a prize is usually given",,
Shrub,"tree, plant, landscape, green",Wallet,"money, cards, identifications, checks",Scold,"hot, burning",Expert,"smart, knowledgeable",Contest,"competition, tournament",,
Shrub,"a thick bush, vegetation used for privacy, landscaping,",Wallet,"pocket sized, a place to carry small items, usually made from leather with small compartments,",Scold,"reprimand, talk to someone angrily,",Expert,"the best at what you do, top honors, high skill level",Contest,"competition, a game with at least two players, to question something, to challenge something",,
Shrub,shurb is a coat,Wallet,wallet is money case,Scold,swear,Expert,qualificated,Contest,competition,,
Shrub,"bushes, landscaping, large plants, hedges",Wallet,"purse, holds money, place for credit cards",Scold,"fuss, reprimand, dress down",Expert,"knows all about it, specialist, someone educated and experienced",Contest,"competition, has opponents, people trying to outdo each other",,
Shrub,"is a decorative plant, similar to a bush, smaller than a tree, used in landscaping",Wallet,"fits in a pocket or purse, holds money, holds ID cards",Scold,"is to chastise, happens to children who misbehave, is done orally",Expert,"professional, is very good at a certain skill, often paid for their experience",Contest,"has a prize, someone wins, multiple parties compete",,
Shrub,"plant, bush, green, needs to be trimmed, needs to be watered, non-human",Wallet,"carries money, carries identification, small, compact",Scold,"to yell, to punish,",Expert,"knowledgeable, above average, top of the class",Contest,"competitive, has a winner, has a loser, has challenges",,
Gorgeous,perfect,Transportation,transport something,Rodent,squirell or beavers,Ego,when you love yourself,Appendage,alppen gold,,
Gorgeous,"pretty, beautiful, desireable, looks good, striking features, sexual",Transportation,"cars, trucks, busses, bikes, airplanes, jets, helecopters, hot air balloons",Rodent,"rats, mice, squirrels, beavers, infestation, disease,rotten animals,chewers",Ego,"super ego, id, intellect, conceited, egostistical, brain spirit",Appendage,"arm, leg, hand, foot, penis, head, fingers, toes, nose, ears, butt cheeks",,
Gorgeous,"beautiful, pretty,",Transportation,"car, truck, train, ship, bicycle, roller skates, skate board, walking",Rodent,"mouse, rats, squirrels, dirty, small",Ego,"pride, individual,",Appendage,"something added, foreing",,
Gorgeous,"Beyond beautiful, Extreme good looks,",Transportation,"mode of mobility, means to get from one place to another,",Rodent,"small animal, small furry creature, sharp teeth, they burrow in small places",Ego,"self image, how one perceives himself,",Appendage,"limb, a leg or arm, something that protrudes,",,
Gorgeous,A very beautiful person,Transportation,Is using equipment or vehicles to get from one place to another.,Rodent,A mammal that is small in size with overgrown teeth often a rat or mouse.,Ego,When a person seperates themselves from others by thinking themsleves better for achieving a goal.,Appendage,part of the body that is connected that can cause movement like legs and arms.,,
Gorgeous,"beautiful, lovely, adjective, pretty",Transportation,"mode, car, bus, train, airplane, boat, shuttle, subway, tram",Rodent,"rat, squirrel, weasel, mouse, gopher, gerbil",Ego,"id, super, self, perception",Appendage,"legs, arms, hands, toes, fingers",,
Gorgeous,"attractive, pretty, describes women",Transportation,"hectic, expensive, cars, trains, buses, move to and from places",Rodent,"mice, rats, small, disgusting, pets, cheese, found in dark places",Ego,"personality, how people see you, how you see yourself",Appendage,"arms, legs, body parts",,
Gorgeous,"beautiful, lovely, attractive",Transportation,"way to get around, vehicle, something to ride to a destination",Rodent,"rat, scurrying animal, prey of cats",Ego,"attitude toward self, boasting, full of oneself",Appendage,"extra part, tail, afterthought",,
Gorgeous,"beautiful, pretty, nice to look at",Transportation,"takes you somewhere, vehicles",Rodent,"mouse, dirty, rat, grey, nasty",Ego,"big headed, thinks highly of themselves",Appendage,"arm, leg",,
Gorgeous,"Pretty,has features considered attractive,could be applied to nearly anything",Transportation,"Moves People and things,may or may not have a motor.",Rodent,"animal,mice,rats,rabbits,live in any environment,wild or domesticated,have large teeth.",Ego,"Form of pride,Is an unattractive trait if to large.",Appendage,"Something attached to the trunk of the body or another main part of something,could be an arm,leg,tail.",,
Gorgeous,"A beautiful lady, glamorous, one of a kind, sublime, sultry and seductive, feminine",Transportation,"Is how you get from point A to point B, many different kinds of transportation, air transportation, subways, trains, transportation across water, horns can honk, airplanes are very loud",Rodent,"Is an animal, usually associated with something disgusting, usually lives in dark and small places, people like to avoid rodents, small and furry, squeaks",Ego,"can be part of Freud's analysis of human behavior and is joined with superego and the id, can lead to someone's downfall, being proud of one's work or life accomplishments, comes from humans, is an abstract thought",Appendage,"body part that we do not need, can be taken out, if not taken out in time and is about the burst it is necessary to get it removed, grows inside your body",,
Gorgeous,"pretty, pleasing to look at, exceptionally beautiful",Transportation,"cars, trains, airplanes, bicycles, a means to get from one location to another not on foot",Rodent,"scurries, 4 legs, small, dirty, to be feared, sneaky",Ego,"self important, arrogant, think highly of oneself",Appendage,"arm, leg, handle",,
Sapphire,"gem, blue, expensive, natural",Nerves,"anxious, brain,",Orchid,"flower, colors, natural",Nauseous,"sick, uncomfortable,",Agree,"accept,",,
Sapphire,"is a gem, blue,crystal,expensive,jewelery",Nerves,"are like arteries,send signals to your brain,in your muscleitory system,holds blood and fluides for your organs",Orchid,"a flower,white,smells good,plant,needs water and sunlight,provides oxygen",Nauseous,"malaise,discomfort,motion sickness,ill,sickly",Agree,"to abide by, deal,",,
Sapphire,"is a gemstone, expensive, pretty, found in jewlery",Nerves,"found inside animals and humans, carries brain signals, causes pain",Orchid,"is a flower, smells good, found in gardens, used in bouquets, tall",Nauseous,"upset stomach, nervous, car sick, vomiting",Agree,"liking an idea, having similar emotions",,
Sapphire,"a blue precious stone, very expensive, the birthstone for September",Nerves,"the parts of your body that pick up sensations, they then send signals back to your brain which registers the sensations",Orchid,"flower, delicate, rare, come in a range of colors",Nauseous,"when you feel like you are going to vomit, have gross taste in your mouth, stomach is unsettled and your head feels like its spinning",Agree,"to come to consensus on something, often requires negotiating between parties",,
Sapphire,"is a type of mineral, shiny, expensive, rare, hard, beautiful, used in jewelry, used as currency in the middle east centuries ago, mark of royalty",Nerves,"a system in our body, alert you to danger, feeling, touching, something you use daily, being scared, nervous, excited.",Orchid,"type of plant, expensive, high maintenance, needs water, smells nice, fragile",Nauseous,"sick feeling, dizzy sensation, throwing up, stomach turning",Agree,"come to terms, contract signed, handshake",,
Sapphire,it is a kinde of stone,Nerves,worry,Orchid,a kinde of flower,Nauseous,bottle,Agree,whene you are agree with someone,,
Sapphire,"gem, blue, worthy, value",Nerves,"microscopic, human body information system, electronic pulses",Orchid,"fruit, straight, tasty, rows",Nauseous,"upset stomach, eat crackers, pregnancy, food poisoning",Agree,"go along with, similar views, same crowd, similar motives.",,
Sapphire,"gem, blue, rare",Nerves,"can twitch, run through the body, sensitive",Orchid,"flower, white, smells good, can be inside",Nauseous,"queasy, pregnant, indigestion, painful",Agree,"yes, have same opinion",,
Sapphire,"gemstone, ring, valuable rock",Nerves,"sensory parts of the body, shakes, feels pain",Orchid,"flower, fragile, potted plant",Nauseous,"sick, upset stomach, ill",Agree,"come to terms, compromise, have the same opinion",,
Sapphire,"A sapphire is a type of rare gem or natural stone that is naturally occuring in nature, it is not man-made and is generally a deep blue color. Lots of women use sapphires in jewelry.",Nerves,"Nerves are a type of connective tissue that transmit electrical impules in the small unit size of axons, electrical impules are sent throughout the human body through both the central nervous system and the peripheral nervous system. Nerves can either be somatic or sensory.",Orchid,"An orchid is a rare flower that is sought after all over the world, some people refer to the orchid as ""female genitalia"".",Nauseous,"Being nauseous means feeling sick to your stomach but not actually physically throwing up. Sometimes pregnant women feel nauseous (on the verge of being sick), or thinking about something scary or a bad omen that something negative is going to happen can make someone nauseous.",Agree,"To agree is to confirm someone elses values or opinions, or to agree to something is to go along with it without any objections or a different stance. To agree to something can wither be unspoken, spoken, or give written consent.",,
