TargetWord,Prime,Length,SubFreq,LogSubFreq,LogHAL,OrthoN,FreqGreater,BGSum,BGMean,POS,ELP LDT RT,ELP LDT Z,ELP LDT Acc,Relation1,Relation2,FAS,BAS,CueFanOut,LSA,LDT 200ms RT,LDT 200ms Z,LDT 200ms Acc,LDT 1200ms RT,LDT 1200ms Z,LDT 1200ms Acc,LDT 200ms RT Priming,LDT 200ms Z Priming,LDT 200ms Acc Priming,LDT 1200ms RT Priming,LDT 1200ms Z Priming,LDT 1200ms Acc Priming
abandon,DISOWN,6,0.41,1.34,5.57,0,,6269,1253.8,VB,843.05,0.23,0.57,synonym,,0.053,,31,0.08,834.46875,0.877487496195049,0.90625,758.34375,0.197948171576506,0.9375,46.25,0.440731544750703,0,31.375,0.25511035863044,-0.0625
ability,CAPABILITY,10,1.37,1.85,9.49,0,,12455,1383.89,NN,772.54,-0.11,0.93,synonym,,0.282,0.119,12,0.22,711.21875,0.180364231807284,1,643.848484848485,-0.102459082601621,0.96969696969697,20.84375,0.0753498346298333,0.0625,40.0224828934506,0.507880350025005,0.00195503421309873
abnormal,NORMAL,6,70.37,3.56,11.17,2,0,8880,1776,JJ|RB,638.53,-0.62,1,antonym,,0.34,0.281,15,0.7,708.290322580645,0.476727365120648,0.967741935483871,744.75,0.490616175341073,0.9375,73.8346774193549,0.148191706085025,0.030241935483871,43.4435483870968,0.102399662585012,0.0665322580645161
above,BELOW,5,28.04,3.16,11.41,0,,4747,1186.75,minor|NN,595.59,-0.64,0.97,antonym,,0.503,0.564,9,0.79,696.741935483871,0.264470064091213,0.967741935483871,610.03125,-0.458474666923661,0.96875,-13.741935483871,-0.366977078406753,-0.032258064516129,-14.375,0.0810290646218348,0
abuse,USE,3,343.84,4.24,13.43,0,,3497,1748.5,VB,576.71,-0.74,0.94,fpa,,0.192,0.015,22,0.2,690.935483870968,-0.0179038371460117,0.967741935483871,637,-0.15370915191284,0.96875,29.1582661290323,0.496497093102348,-0.032258064516129,-16.5806451612904,0.0695814189120505,-0.03125
accept,REJECT,6,4.24,2.34,8.92,1,0,7170,1434,VB,625.9,-0.62,0.94,antonym,,0.169,0.107,18,0.6,654.322580645161,-0.229563491349614,0.935483870967742,588.212121212121,-0.361933784788283,1,-12.1350806451613,0.241013309195065,-0.0332661290322581,160.969696969697,0.652654723793662,0
account,CHECKING,8,32.47,3.22,9.71,0,,16750,2392.86,VB|NN,638.71,-0.54,1,fpa,,0.44,0.035,10,0.42,640.40625,-0.0632530325305088,0.9375,692.58064516129,-0.290119332108848,0.967741935483871,14.46875,-0.0443686668061025,-0.0625,80.9818548387096,0.351559195852908,0.030241935483871
accuse,BLAME,5,58.78,3.48,9.76,5,1,5885,1471.25,VB|NN,546.31,-0.83,1,synonym,,0.185,0.159,22,0.22,695.967741935484,0.0261921398875707,0.903225806451613,699.34375,0.192053967753743,0.96875,35.483870967742,0.213255179995925,0,39.34375,0.123460201626011,0.03125
ache,STOMACH,7,33.82,3.24,8.95,0,,10809,1801.5,NN|VB,584.1,-0.66,0.91,fpa,,0.284,0,17,0.19,627.25,0.155524558242069,0.90625,839.9375,0.310188973251101,0.9375,55.5,0.230384182579307,0.125,-103.25,-0.259852371488997,-0.0625
achieve,GOAL,4,16.75,2.93,10.17,4,0,3845,1281.67,NN,544.28,-0.79,0.97,script,,0.174,0.22,21,0.65,621.818181818182,-0.205432477807136,0.96969696969697,784.6875,0.356544546928324,1,88.6656891495601,0.643929898371989,0.0342130987292278,39.0625,-0.109786251930254,0.0625
act,PERFORM,7,16.1,2.91,10.11,0,,11886,1981,VB,706.65,-0.34,1,synonym,,0.291,0.02,15,0.2,613.53125,-0.282844140614127,0.9375,701.28125,-0.288126296065479,0.96875,0.71875,0.053218142792849,-0.03125,-107.3125,-0.0684756137282316,0
