TargetWord,Prime,Length,SubFreq,LogSubFreq,LogHAL,OrthoN,FreqGreater,BGSum,BGMean,POS,ELP LDT RT,ELP LDT Z,ELP LDT Acc,Relation1,Relation2,FAS,BAS,CueFanOut,LSA,LDT 200ms RT,LDT 200ms Z,LDT 200ms Acc,LDT 1200ms RT,LDT 1200ms Z,LDT 1200ms Acc,LDT 200ms RT Priming,LDT 200ms Z Priming,LDT 200ms Acc Priming,LDT 1200ms RT Priming,LDT 1200ms Z Priming,LDT 1200ms Acc Priming
abandon,MAROON,6,1.2,1.79,6.36,0,,12320,2464,NN|JJ|VB,863.25,0.07,0.88,unclassifed,,0.02,,14,0.01,803.6875,0.72795147998599,0.96875,712.677419354839,0.359059405829783,1,-60.7842741935484,-0.579924683062773,-0.0977822580645161,19.1975806451613,0.0916688651079591,-0.09375
ability,MEANS,5,218.35,4.05,11.78,8,0,8895,2223.75,VB|NN,579.06,-0.66,1,unclassifed,,0.054,0,13,0.31,748.5625,0.179978796948308,0.96875,775.96875,0.2335019304703,1,26.03125,-0.0700001786557491,-0.03125,-82.3125,0.238295883372082,-0.0625
abnormal,IRREGULAR,9,2.53,2.11,7.66,0,,12774,1596.75,JJ,786.7,-0.18,1,synonym,,0.046,0,15,0.07,800.75,0.781340041657522,0.875,758.333333333333,0.257774763051506,0.939393939393939,-7.84090909090912,0.045746781611176,0.0643939393939394,-29.9270833333334,0.193061961064352,-0.0331439393939394
above,UPSTAIRS,8,70.73,3.56,7.88,0,,9348,1335.43,NN,587.15,-0.64,1,unclassifed,,0.02,0,11,0.15,615.28125,-0.428152614679423,1,568.645161290323,-0.626290711724862,0.935483870967742,77.3125,0.384643921723615,0,80.1489563567362,0.2817998922,0.0645161290322581
abuse,TORTURE,7,15.92,2.91,8.92,0,,11758,1959.67,NN|VB,649.03,-0.48,0.97,synonym,,0.02,0,13,0.15,659.25,-0.122411558422786,0.9375,580.451612903226,-0.374074437809917,0.967741935483871,64.7177419354839,0.231740984815033,-0.00201612903225812,114.142137096774,0.175728653139702,-0.061491935483871
accept,FORGIVE,7,76.8,3.59,9.1,1,0,7002,1167,VB,566.67,-0.67,1,unclassifed,,0.014,0,8,0.23,648.4375,-0.42180277555917,0.9375,590.967741935484,-0.234045299289507,1,20.1875,0.234800362605962,0.0625,130.969758064516,0.152876895386924,0
account,JOINT,5,27.55,3.15,9.6,3,1,10407,2601.75,JJ|NN,585.84,-0.7,0.97,fpa,,0.062,0,19,0.05,662.741935483871,-0.0118573989515079,0.967741935483871,664.21875,-0.135599447605891,0.9375,3.50048875855327,0.0633789781593805,0.032258064516129,15.4375,0.104269426738008,0.0625
accuse,CONDEMN,7,2.37,2.09,7.96,0,,12514,2085.67,VB,848.63,0.14,0.91,unclassifed,,0.022,0,31,0.09,732.354838709677,0.641372340860479,0.903225806451613,751.909090909091,0.344459569676793,0.939393939393939,79.5161290322581,-0.227042179851661,0,52.969696969697,0.253186951176377,-0.0303030303030304
ache,HEAD,4,371.51,4.28,11.6,13,1,4615,1538.33,NN|VB,526.37,-0.85,1,fpa,,0.082,0.188,15,0.32,666.161290322581,0.206622644687303,0.935483870967742,780.454545454546,0.354240360549629,0.96969696969697,33.0967741935484,0.185376277142643,-0.032258064516129,10.9970674486804,-0.146888138378572,-0.00195503421309873
achieve,STRIVE,6,1.31,1.83,7.77,5,1,10901,2180.2,VB,570.75,-0.66,1,unclassified,,0.139,0.03,18,0.54,680.806451612903,0.285729073989497,0.967741935483871,703.774193548387,0.00896558395704942,0.935483870967742,-8.86895161290317,-0.212386628050446,0.001008064516129,-60.5241935483871,-0.171749977182013,0.0332661290322581
