TargetWord,Prime,Length,SubFreq,LogSubFreq,LogHAL,OrthoN,FreqGreater,BGSum,BGMean,POS,ELP NT RT,ELP NT Z,ELP NT Acc,Relation1,Relation2,FAS,BAS,CueFanOut,LSA,NT 200ms RT,NT 200ms Z,NT 200ms Acc,NT 1200ms RT,NT 1200ms Z,NT 1200ms Acc,NT 200ms RT Priming,NT 200ms Z Priming,NT 200ms Acc Priming,NT 1200ms RT Priming,NT 1200ms Z Priming,NT 1200ms Acc Priming
abandon,MAROON,6,1.2,1.79,6.36,0,,12320,2464,NN|JJ|VB,655.85,-0.18,1,unclassifed,,0.02,,14,0.01,567.388888888889,0.196107259679194,1,581.3,0.140209330156663,0.95,20.459595959596,-0.155400546754361,-0.0303030303030303,-1.34999999999991,0.151859222855275,0.05
ability,MEANS,5,218.35,4.05,11.78,8,0,8895,2223.75,VB|NN,686.57,-0.4,1,unclassifed,,0.054,0,13,0.31,541.5,-0.036845815660417,1,571.538461538462,0.533848549849197,1,128.5,0.91667280835573,0,-37.8488063660477,-0.409636014607912,0
abnormal,IRREGULAR,9,2.53,2.11,7.66,0,,12774,1596.75,JJ,655.77,-0.34,1,synonym,,0.046,0,15,0.07,576.909090909091,0.435367805253384,1,542.466666666667,0.178081659952428,0.933333333333333,-33.6398601398602,-0.429933412036576,0,12.2520833333333,0.00765399899436997,0.0666666666666667
above,UPSTAIRS,8,70.73,3.56,7.88,0,,9348,1335.43,NN,587.67,-0.7,1,unclassifed,,0.02,0,11,0.15,500.238095238095,-0.168023704575037,1,485.6,-0.571676288276187,1,35.5744047619048,0.110962676633919,0,9.91515151515148,0.127870941828378,0
abuse,TORTURE,7,15.92,2.91,8.92,0,,11758,1959.67,NN|VB,684.23,-0.41,1,synonym,,0.02,0,13,0.15,541.692307692308,0.361026604842902,0.923076923076923,541.433333333333,-0.0858051699755262,1,76.7016317016316,0.205448485484282,0.0466200466200466,-34.725,-0.0108298821995826,0
accept,FORGIVE,7,76.8,3.59,9.1,1,0,7002,1167,VB,648,-0.38,1,unclassifed,,0.014,0,8,0.23,600.133333333333,0.465855675723959,1,529.870967741935,-0.0351628380689731,1,-32.6571428571428,-0.60427944045515,-0.0476190476190477,-13.6626344086021,0.0818733419901953,0
account,JOINT,5,27.55,3.15,9.6,3,1,10407,2601.75,JJ|NN,570.58,-0.62,1,fpa,,0.062,0,19,0.05,584.122448979592,0.183903378198212,0.959183673469388,512.888888888889,-0.0260238999933167,0.944444444444444,-46.4795918367347,-0.238738322882429,0.0408163265306123,25,0.18493190574623,0.0555555555555556
accuse,CONDEMN,7,2.37,2.09,7.96,0,,12514,2085.67,VB,789.43,0.34,0.78,unclassifed,,0.022,0,31,0.09,742.148148148148,1.41716383555215,0.962962962962963,642.961538461538,0.613058507251019,1,-138.96632996633,-1.2274072568542,0.00673400673400681,-54.6571906354515,-0.153868261755063,-0.0652173913043478
ache,HEAD,4,371.51,4.28,11.6,13,1,4615,1538.33,NN|VB,603.04,-0.64,1,fpa,,0.082,0.188,15,0.32,591.793103448276,0.0631867008306902,0.96551724137931,595.421052631579,0.190362932043153,1,-21.3315649867374,0.0820270528048566,0.0344827586206896,-68.9504643962848,0.019429030851366,0
achieve,STRIVE,6,1.31,1.83,7.77,5,1,10901,2180.2,VB,666.71,-0.23,1,unclassified,,0.139,0.03,18,0.54,572.107142857143,0.159564956057567,1,498.076923076923,-0.000154420088615121,1,-19.8849206349207,-0.190898030883543,0,83.2474012474013,0.188067278083208,0
act,PRETEND,7,40.31,3.31,8.89,0,,17213,2868.83,VB|JJ,701.11,-0.31,1,synonym,,0.115,0.176,13,0.14,499.357142857143,-0.362150863177437,1,498.47619047619,-0.461233833699855,1,43.452380952381,0.231930620553985,0,-40.4761904761905,0.0520015857591993,0
action,CONSEQUENCE,11,3.14,2.21,8.39,0,,18872,1887.2,NN,662.25,-0.3,1,unclassifed,,0.033,0,25,0.22,581.52380952381,0.0829075615381388,1,448.230769230769,-0.46462353879294,1,-120.160173160173,-0.755268672643452,0,53.7692307692308,0.435627510479328,0
active,PASSIVE,7,2.18,2.05,8.43,1,1,8593,1432.17,JJ|NN,597.41,-0.63,0.96,antonym,,0.118,0.047,16,0.58,494.176470588235,-0.218255713922208,1,550.793103448276,0.0999216088173829,1,-3.96594427244582,-0.0294811766114153,-0.0526315789473685,-15.941251596424,-0.0876320755066144,-0.0370370370370371
